# Luxembourgish phonemes
# Luxembourgish vowels (monophtongs)
ɑ k[a]pp
aː k[a]p
ɛː st[ä]ren
e m[é]ck
æ h[e]ll
eː k[ee]ss
ə n[e]t
ɐ kann[er]
i m[i]dd
iː l[ii]cht
o spr[o]ch
oː spr[oo]ch
u g[u]tt
uː d[uu]scht
// Monophtongs from loanwoards
y conj[u]gaisoun
y: s[ü]den
ãː restaur[ant]
õː sais[on]
ɛ̃ː cous[in]
œː interi[eu]r
// Luxembourgish diphtongs
æːɪ z[äi]t
ɑʊ [au]to
æːʊ r[au]m
ɑɪ l[ei]t
ɜɪ fr[éi]
oɪ [eu]ro
iə h[ie]n
əʊ sch[ou]l
uə b[ue]dem
// Consonants
# Nasals
m [m]a[mm]
n ma[nn]
ŋ ke[ng]
# Plosives
p [p]aken
b [b]aken
t blu[tt]
d [d]äiwel
k [k]eess
g [g]eess
// Affricates
ʦ schwä[tz]en
dʒ bu[dg]et
# Fricatives
f [f]ësch
v [v]akanz
w sch[w]aarz
s taa[ss]
z [s]ummer
ʃ bii[sch]t
ʒ pro[j]et
X ku[ch]
ɕ lii[ch]t
ʁ ku[g]el
ʑ spi[g]el
h [h]ei
# Approximants
l [l]oft
j [j]o
// Trills
ʀ [r]ou
