aen	aː ə n
aacht	aː χ t
aachten	aː χ t ə n
aachtafofzeg	aː ʁ d ɑ f o f ts ə ɕ
aachtafofzegst	aː ʁ d ɑ f o f ts ə ɕ s t
aachtanachzeg	aː χ t ɑ n ɑ χ ts ə ɕ
aachtanachzegst	aː χ t ɑ n ɑ χ ts ə ɕ s t
aachtandrësseg	aː χ t ɑ n d ʀ ə s ə ɕ
aachtandrëssegst	aː χ t ɑ n d ʀ ə s ə ɕ s t
aachtannonzeg	aː χ t ɑ n n o n ts ə ɕ
aachtannonzegst	aː χ t ɑ n n o n ts ə ɕ s t
aachtanuechzeg	aː χ t ɑ n uə ɕ ts ə ɕ
aachtanuechzegst	aː χ t ɑ n uə ɕ ts ə ɕ s t
aachtanzwanzeg	aː χ t ɑ n ts w ɑ n ts ə ɕ
aachtanzwanzegst	aː χ t ɑ n ts w ɑ n ts ə ɕ s t
aachtasechzeg	aː χ t ɑ z æ ɕ ts ə ɕ
aachtasechzegst	aː χ t ɑ z æ ɕ ts ə ɕ s t
aachtasiechzeg	aː χ t ɑ z iə ɕ ts ə ɕ
aachtasiechzegst	aː χ t ɑ z iə ɕ ts ə ɕ s t
aachtasiwwenzeg	aː χ t ɑ z i v ə n ts ə ɕ
aachtasiwwenzegst	aː χ t ɑ z i v ə n ts ə ɕ s t
aachtavéierzeg	aː χ t ɑ f ɜɪ ɐ ts ə ɕ
aachtavéierzegst	aː χ t ɑ f ɜɪ ɐ ts ə ɕ s t
aachtchen	aː χ t ɕ ə n
aachtercher	aː χ t ɐ ɕ ɐ
aachtel	aː χ t ə l
aachtfach	aː χ t f ɑ χ
aachtmol	aː χ t m oː l
aangel	aː ŋ ə l
aangelen	aː ŋ ə l ə n
aangelsbierg	aː ŋ ə l s b iː ɐ ɕ
aansebuerg	aː n s ə b uː ɐ ɕ
aarbecht	aː ɐ b ə ɕ t
aarbechten	aː ɐ b ə ɕ t ə n
aarbechter	aː ɐ b ə ɕ t ɐ
aarbechterfamill	aː ɐ b ə ɕ t ɐ f ɑ m i l
aarbechterfamillen	aː ɐ b ə ɕ t ɐ f ɑ m i l ə n
aarbechterin	aː ɐ b ə ɕ t ə ʀ i n
aarbechterinnen	aː ɐ b ə ɕ t ə ʀ i n ə n
aarbechterklass	aː ɐ b ə ɕ t ɐ k l ɑ s
aarbechtsaccident	aː ɐ b ə ɕ ts ɑ k s i d æ n t
aarbechtsaccidenter	aː ɐ b ə ɕ ts ɑ k s i d æ n t ɐ
aarbechtsamt	aː ɐ b ə ɕ ts ɑ m t
aarbechtsämter	aː ɐ b ə ɕ ts æ m t ɐ
aarbechtsbedéngungen	aː ɐ b ə ɕ t s b ə d e ŋ u ŋ ə n
aarbechtsbedingungen	aː ɐ b ə ɕ t s b ə d i ŋ g u ŋ ə n
aarbechtsdag	aː ɐ b ə ɕ t s d aː χ
aarbechtsdeeg	aː ɐ b ə ɕ t s d eː ɕ
aarbechtsdokter	aː ɐ b ə ɕ t s d o k t ɐ
